Name,Description,NumberOfCheckboxes,NumberAlreadyCompleted,SectionID,GameID,ListOrder,LongDescription,Hidden
Icy Peak - Log Fireplace,,1,0,105,4,1,,0
Icy Peak - Fuzzy Rug,,1,0,105,4,1,,0
Icy Peak - Log Armchair,,1,0,105,4,1,,0
Icy Peak - Log Armoire,,1,0,105,4,1,,0
Icy Peak - Log Bed,,1,0,105,4,1,,0
Icy Peak - Log Bench,,1,0,105,4,1,,0
Icy Peak - Log Bookshelf,,1,0,105,4,1,,0
Icy Peak - Log Cabin Flooring,,1,0,105,4,1,,0
Icy Peak - Log Cabin Wallpaper,,1,0,105,4,1,,0
Icy Peak - Log Coffee Table,,1,0,105,4,1,,0
Icy Peak - Log Dining Chair,,1,0,105,4,1,,0
Icy Peak - Log Dining Table,,1,0,105,4,1,,0
Icy Peak - Log Double Bed,,1,0,105,4,1,,0
Icy Peak - Log Dresser,,1,0,105,4,1,,0
Icy Peak - Log Mirror,,1,0,105,4,1,,0
Icy Peak - Log Ottoman,,1,0,105,4,1,,0
Icy Peak - Log Side Table,,1,0,105,4,1,,0
Icy Peak - Log Sofa,,1,0,105,4,1,,0
Icy Peak - Log Standing Lamp,,1,0,105,4,1,,0
Knight's Helmet,,1,0,112,4,1,,0
Shield,,1,0,112,4,1,,0
Armor,,1,0,112,4,1,,0
