Original order,Name,Description,NumberOfCheckboxes,NumberAlreadyCompleted,SectionID,GameID,ListOrder,LongDescription,Hidden
1,A Bakers Dozen!,"Take Photos of 13 Gudetama - Use the Camera tool to take photos. The camera is collected after the side-quest Gudetama Snap, after reaching Friendship level 1 with Pochacco",1,1,81,4,1,,
2,A New Home,Open the Nature Preserve - Completed during the quest Open the Nature Preserve,1,1,81,4,1,,
3,Adorned in Flowers,Create a Flower Crown,1,0,81,4,1,,
4,Aquatic Challenge,Craft the Gold Reef Trophy - Complete all the Challenge Courses in Rainbow Reef to get the Crafting Plans for the Gold Reef Trophy.,1,1,81,4,1,,
5,Baking Bliss,Unlock 20 recipes at the Oven - The oven is located in Seaside Resort Plaza in Hello Kitty's Cafe. You can make a bunch of recipes using Flour.,1,1,81,4,1,,
6,Behind the Waterfall,The Hidden Meadow - Enter the Merry Meadow for the first time in the quest Curious Caverns,1,1,81,4,1,,
7,Bog Champ,Restore the Spooky Swamp - Completed during the quest Re-Haunt the Swamp,1,1,81,4,1,,
8,Candy Connoisseur,Unlock 10 Recipes at the Candy Cloud Station - The Candy Cloud Station is located in Cloud Island. Recipes are made using Candy Clouds as the main ingredient.,1,1,81,4,1,,
9,Critter Master,Catch 100 Critters - Use the Net tool to catch critters in each area. You can earn the Net during the quest Open the Nature Preserve.,1,1,81,4,1,,
10,Definitely Haunted,Restore the Haunted Mansion - Completed during the quest Re-Haunt the Swamp,1,1,81,4,1,,
11,Delicious Desserts,Unlock 16 Recipes at the Dessert Boat - The Dessert Boat is located within the Dessert Boat restaurant in Gemstone Mountain. Recipes are made using Cactus Cream.,1,1,81,4,1,,
12,Dinosaurs Not Included,Open the Resort Gate with Chococat - Completed during the quest Power Up the Gate,1,1,81,4,1,,
13,Dozens Surely!,Take Photos of 120 Gudetama - Use the Camera tool to take photos. Gudetama are scattered across all regions.,1,1,81,4,1,,
14,Egg-cellent Chef,Unlock 14 Recipes at the Egg Pan Station - The Egg Pan Station is crafted after completing the quest An Egg-cellent Pan. Recipes are made with eggs.,1,1,81,4,1,,
15,Everyone is Welcome,Have 20 Visitors at 5 Stars - Repair Visitor Cabins to have Visitors stay. Complete their Requests to boost their Star Rating.,1,0,81,4,1,,
16,Everyone's Bestie,Become Best Friends with 15 Characters - Increase Friendships by gifting gifts daily + completing quests with characters around the islands.,1,0,81,4,1,,
17,Excellent Espresso,Unlock 13 recipes at the Espresso Machine - The Espresso Machine is located in the Comedy Club within Rainbow Reef. Recipes are made with Candlenut.,1,1,81,4,1,,
18,Floating Challenge,Craft the Gold Cloud Trophy - Complete all the Challenge Courses in Cloud Island to get the Crafting Plans for the Gold Cloud Trophy.,1,1,81,4,1,,
19,Floral Challenge,Craft the Gold Meadow Trophy - Complete all the Challenge Courses in Merry Meadow to get the Crafting Plans for the Gold Meadow Trophy.,1,0,81,4,1,,
20,Floral Pattern,"Obtain a patterned flower - Flowers are grown in Merry Meadow by planting seeds + waiting for the flower to bloom. To collect, approach + press the hand icon or E.",1,1,81,4,1,,
21,Flower Collector,"Obtain 10 unique Flower Types - Flowers are grown in Merry Meadow by planting seeds + waiting for the flower to bloom. To collect, approach + press the hand icon or E.",1,1,81,4,1,,
22,For the Love of Baking,"Cook 100 recipes - Prepare any recipe using the Oven in Hello Kitty's Cafe, 100 times.",1,1,81,4,1,,
23,Friendship Forever,Freed Big Challenges from his Icy Statis + Re-united TOPHAT with his Best Friend - Completed during the quest A Challenging Rescue,1,1,81,4,1,,
24,Friendships Restored,Reunite the Island Spirit with her Best Friends,1,0,81,4,1,,
25,Happy Hattery,Put a Hat on a Null - Interact with any Null + choose from any available hats in your Inventory to give it to them.,1,1,81,4,1,,
26,Happy Landing!,Another Happy Landing! - After completing the quest Happy Landings,1,1,81,4,1,,
27,Haunted,Fall through the floor of the Haunted Mansion - Fall through a trap door while completing the quest Re-Haunt the Swamp,1,1,81,4,1,,
28,Hello Bestie!,Become Best Friends with Hello Kitty - Reach Friendship level 25 with Hello Kitty,1,0,81,4,1,,
29,Master Angler,Catch 100 Fish - Use the Fishing Rod tool to catch fish in any region. The Fishing Rod is collected after completing the side-quest Keep It Reel when reaching Badtz-Maru Friendship level 3.,1,1,81,4,1,,
30,Master of the Ruins,Complete 20 Puzzle Rooms - Puzzle Rooms are temple-like structures spread through each region of the map. They usually contain Power Crystals or chests.,1,1,81,4,1,,
31,Mermaids are Real,Activate the Mermaidifier - Completed during the quest Comic Relief,1,1,81,4,1,,
32,Nap Time,Use a bed to change the time of day - Place a bed in your Cabin + interact with it to sleep + change the time of day.,1,1,81,4,1,,
33,New Heights,A Paradise in the Clouds - Enter Cloud Island for the first time in the quest Stargazing,1,1,81,4,1,,
34,Open for Visits,Unlock a Visitor Cabin - Visitor Cabins are unlocked by interacting with the signposts in the front of them + using Strawberry Crates for My Melody to repair them.,1,1,81,4,1,,
35,Piza Perfection,Unlock 11 recipes at the Pizza Oven - The Pizza Oven is located on Mount Hothead. Recipes are made with Dough.,1,1,81,4,1,,
36,Rage Mode,Ignited the Volcano with Retsuo's Rage - Completed during the quest Fire Up the Volcano,1,1,81,4,1,,
37,Reef Revival,Fully restore Rainbow Reef - Completed during the quest Reef Revival,1,1,81,4,1,,
38,Regional Explorer,"Reaching every Region on Friendship Island - Friendship Island is made up of 5 regions -- Seaside Resort, Spooky Swamp, Rainbow Reef, Gemstone Mountain, + Mount Hothead. You'll venture to each within the main story quests.",1,1,81,4,1,,
39,Rocky Challenge,Craft the Gold Gemstone Trophy - Complete all the Challenge Courses in Gemstone Mountain to get the Crafting Plans for the Gold Gemstone Trophy.,1,1,81,4,1,,
40,Soda Satisfaction,Unlock 14 recipes at the Soda Fountain,1,1,81,4,1,,
41,Stick Nation,Craft the Golden Stick,1,0,81,4,1,,
42,Stick Royalty,Obtain the Golden Crown,1,0,81,4,1,,
43,Superb Gift Giver,"Give 50 3-Star Gifts - Each character has different ""Liked"" items. Give Gifts that meet each one of their ""Liked"" items to make the Gift 3-Stars.",1,1,81,4,1,,
44,Swampy Challenge,Craft the Gold Swamp Trophy - Complete all the Challenge Courses in Spooky Swamp to get the Crafting Plans for the Gold Swamp Trophy.,1,1,81,4,1,,
45,Swing Partners,Reboot the Dance Hall band - Completed during the quest Bring Back the Swing,1,1,81,4,1,,
