Name,Description,NumberOfCheckboxes,NumberAlreadyCompleted,SectionID,GameID,ListOrder,LongDescription,Hidden
Perfectionist,Fully complete every order,8,5,1,0,2,,
"Knock, knock",I am the one who knocks - Hit the front door of the Huckster's House with the sledgehammer a few times to knock.,8,5,1,0,3,,
Estate Agent,Sell 20 houses.  Buy and sell 20 houses. Renovations not required.,8,5,1,0,5,,
Senior Estate Agent,"""Sell 50 houses""  Buy and sell 50 houses. You don't have to renovate them for this achievement.",8,5,1,0,6,,
Negotiator,"""Negotiate for at least 50,000 euro and win""  Note: you cannot earn this achievement if you do not have your currency set to ""Euros"". This can be done from the in-game Settings > General section at any time. The easiest way to earn this achievement is to max out your negotiation skill and sell the ""Alone Home"" house.",8,5,1,0,7,,
Car mechanic,"""You'll need a car mechanic.""  Earned by hitting a car in a garage with the hammer.",8,5,1,0,9,,
You're Doing it Wrong,"""Kill a cockroach with a hammer.""  ",8,5,1,0,10,,
Strongman,"""Do you even lift?""  Earned by picking up and moving a vehicle. It is possible to earn this achievement both while completing jobs and renovating houses.",8,5,1,0,11,,
Millionaire,"""Earn the first million euro.""  Available in other currency modes (adjusted from the in-game Settings > General section at any time). Fastest way to earn this is to purchase the House that is hiding something, break down the wall next to the breaker box, loot and sell what's in the secret room, sell house... repeat.",8,5,1,0,12,,
Game Over,"""Finish the game.""  Earned by selling EVERY house once. This requires you to move offices at least once in order to sell the first office.",8,5,1,0,13,,
I'm a Belieber,"""Fashion is my armor against the realities of everyday life."" Earned by selling a house to Gorgio Shanua.He prefers fashion over function. You must not have a kitchen, sell most of your furniture... a double bed and a 2 linen closets are a must.",9,5,1,0,2,,
Geek,"""I'm not a genius, but I am smarter than you are.""  Earned by selling a house to Chang Choi. The ""Abandoned house"" is best suited to his needs. You may have to make an open floor plan and add some children's toys to dissuade other potential buyers.",9,5,1,0,3,,
Artistic Soul,"""Every child is an artist. The problem is how to remain an artist once we grow up.""  Earned by selling a house to Veronica Liptson. Veronica's wants are simple: Art and plants. The easiest way to earn this achievement is to use the ""Variable Woman's House"", don't clean it, and add tons of art and plants.",9,5,1,1,4,,
Mr. Mystery,"""Bra off, party on!""  Earned by selling a house to Jimmy Traitor. The ""Home Admin-Legends"" house has most of the amenities he wants. Remove the kitchen and turn it into a home theater. Don't forget the coffee table(s).",9,5,1,1,5,,
Wall Street Shark,"""It's business. Leave your feelings at the door.""  Earned by selling a house to Jack Tarinton. The ""Hucksters House"" is best set up for this. Clean it, make 2 bedrooms, 2 couches, and cheap furniture.",9,5,1,0,6,,
Family Man,"""Family isn't just an important thing, it's everything.""  Earned by selling a house to the Jonson Family. When working on this achievement, you must not have a complete kitchen or the Smoth couple will buy it EVERY TIME. The best way to do this is to use a bathroom sink instead of kitchen one and use the range tops instead of a full stove.",9,5,1,0,7,,
Just Enough,"""Age is just a number. Live life fully, no matter how old you are..""  Earned by selling a house to the Jantart Family. The ""Camping bungalow"" home is best suited for their needs. Clean the home and install furnaces in every room. Furniture needs to be classic wooden or upholstered and retro looking. They also like rugs or carpet.",9,5,1,1,8,,
Pro-creative,"""You know, when you're in love, you can't get any sleep… because of your kids screaming around the clock!""  Earned by selling a house to the Smoth family.",9,5,1,1,10,,
The Tactical Prepper,"""Always be prepared for the unknown.""  Earned by selling a house to Lonewolf37. The ""Garage with a bunker"" can be sold as is.",10,5,1,0,1,,
Doomsday Prepper,"""Better to prep 10 years too early than 10 minutes too late!""  Earned by selling a house to Maria Kolkowsky. The ""Old house with a bunker"" is best suited for Maria's needs. It can be sold to her without renovations.",10,5,1,0,2,,
The Survivalist,"""Remember: when disaster strikes, the time to prepare has passed.""  Earned by selling a house to Ted Arrown. The ""Garage with a bunker"" house is best suited for his needs. Add 2 turbine generators and 2 bunk beds.",10,5,1,0,3,,
Give it Some Fresh Air,"""Don't forget to take it out of the rain!.""  Earned by taking your laptop outside from your ""office"" to your garden and using by pressing ""E"".",11,5,1,0,1,,
Competitor,"""Look at my garden, it's amazing!""  Earned by competing in a Garden Competition. To do this, act as if you are selling the house and click ""Submit garden for contest"".",11,5,1,0,3,,
Perfect Layout,"""Feel Shi… Fence Shi… Well, I tried.""  Earned by getting 5 stars in ""layout"" during a Garden Competition. The ""Garden After House Construction"" home is best suited for this.",11,5,1,0,4,,
According to the Rules,"""Blue flower, red thorns...""  Earned by getting 5 stars in ""plant selection"" during a Garden Competition.",11,5,1,0,5,,
Fully Equipped,"""Didn't you forget about a few flowers between this sofa and carousel?""  Earned by getting 5 stars in ""equipment"" during a Garden Competition.",11,5,1,0,6,,
