Name,Description,NumberOfCheckboxes,NumberAlreadyCompleted,SectionID,GameID,ListOrder,LongDescription
Special - Yellow,,1,1,,4,1,
Special - Orange and White Trim,,1,1,134,4,1,
Special - Red and Coral Ombre,,1,1,134,4,1,
Special - Red and Yellow Ombre,,1,1,134,4,1,
Special - Hot Pink and White Confetti,,1,1,133,4,1,
Special - Orange and White Trim,,1,1,144,4,1,
Blue,,1,0,243,4,1,
Blush,,1,0,243,4,1,
Cloud,,1,0,243,4,1,
Cool Pink,,1,0,243,4,1,
Coral,,1,0,243,4,1,
Cream,,1,0,243,4,1,
Green,,1,0,243,4,1,
Hot Pink,,1,0,243,4,1,
Ice,,1,0,243,4,1,
Indigo,,1,0,243,4,1,
Lilac,,1,0,243,4,1,
Lime,,1,0,243,4,1,
Magenta,,1,0,243,4,1,
Mint,,1,0,243,4,1,
Orange,,1,0,243,4,1,
Peach,,1,0,243,4,1,
Periwinkle,,1,0,243,4,1,
Pink,,1,0,243,4,1,
Pistachio,,1,0,243,4,1,
Red,,1,0,243,4,1,
Seafoam,,1,0,243,4,1,
Sky,,1,0,243,4,1,
Teal,,1,0,243,4,1,
Violet,,1,0,243,4,1,
Warm Pink,,1,0,243,4,1,
White,,1,0,243,4,1,
Yellow,,1,0,243,4,1,
Special - Blue,,1,0,243,4,1,
Special - Blush,,1,0,243,4,1,
Special - Cloud,,1,0,243,4,1,
Special - Cool Pink,,1,0,243,4,1,
Special - Coral,,1,0,243,4,1,
Special - Cream,,1,0,243,4,1,
Special - Green,,1,0,243,4,1,
Special - Hot Pink,,1,0,243,4,1,
Special - Ice,,1,0,243,4,1,
Special - Indigo,,1,0,243,4,1,
Special - Lilac,,1,0,243,4,1,
Special - Lime,,1,0,243,4,1,
Special - Magenta,,1,0,243,4,1,
Special - Mint,,1,0,243,4,1,
Special - Orange,,1,0,243,4,1,
Special - Peach,,1,0,243,4,1,
Special - Periwinkle,,1,0,243,4,1,
Special - Pink,,1,0,243,4,1,
Special - Pistachio,,1,0,243,4,1,
Special - Red,,1,0,243,4,1,
Special - Seafoam,,1,0,243,4,1,
Special - Sky,,1,0,243,4,1,
Special - Teal,,1,0,243,4,1,
Special - Violet,,1,0,243,4,1,
Special - Warm Pink,,1,0,243,4,1,
Special - White,,1,0,243,4,1,
Special - Yellow,,1,0,243,4,1,
